"","Country","Adult population smoking daily","Adult population smoking daily: females","Adult population smoking daily: males","Alcohol consumption among population aged 15 and over","GDP per capita","GDP per hour worked","GDP per Hour Worked","General practitioners as a percentage of total physicians","Gross fixed capital formation","Infant mortality","Labour compensation per unit labour input, total economy","Labour Utilisation","Levels of GDP per capita and labour productivity - Effect of labour utilisation","Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita","Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked","Life expectancy at birth: men","Life expectancy at birth: total","Life expectancy at birth: women","Medical graduates","Neonatal infant mortality rates ","Number of employees in manufacturing in enterprises with 10-19 persons engaged","Number of employees in manufacturing in enterprises with 20-49 persons engaged","Number of employees in manufacturing in enterprises with 250 or more persons engaged","Number of employees in manufacturing in enterprises with 50-249 persons engaged","Number of employees in manufacturing in enterprises with less than 10 persons engaged","Number of enterprises in manufacturing with 10-19 persons engaged","Number of enterprises in manufacturing with 20-49 persons engaged","Number of enterprises in manufacturing with 250 or more persons engaged","Number of enterprises in manufacturing with 50-249 persons engaged","Number of enterprises in manufacturing with less than 10 persons engaged","Nursing graduates","Obesity rate among the adult population","Obesity rate among the adult population: men","Obesity rate among the adult population: women","Other physicians as a percentage of total physicians","Post-neonatal infant mortality rates ","Practising nurses","Practising physicians","Private expenditure on health","Public expenditure on health","Real GDP growth","Real value added in agriculture, hunting and forestry, fishing","Real value added in construction","Real value added in distributive trade, repairs, transport, accommodation and food service activities, information and communication","Real value added in financial and insurance activities, real estate activities, professional, scientific, technical, administrative and support service activities","Real value added in industry, including energy","Real value added in other services activities","Specialists as a percentage of total physicians","Suicide rates","Total expenditure on health","Unit labour costs, total economy","Value added in agriculture, hunting and forestry, fishing","Value added in construction","Value added in financial intermediation, real estate, renting and business activities","Value added in industry, including energy","Value added in manufacturing","Value added in other services activities","Value added in wholesale and retail trade, repairs, hotels and restaurants, transport"
"28","Netherlands",22.65,20.0666666666667,25.3666666666667,9.575,32355.3209244444,60.2,0.25,42.962,0.0107201295714284,3.91666666666667,2.27857142857143,-0.25,-6,-17,-11,79.4,81.3,83.1,12.7783333333333,2.7,8.006709,13.32427,31.43087,29.57505,17.6631,6.924532,5.473804,0.7792699,4.111973,82.71042,38.0266666666667,11.4,10.2,12.6,0,0.9,8.3,3.325,1.0674,8.4514,0.953769585428571,0.274505321,-8.152211412,-1.256337312,-1.0539629,-0.933759601,0.14901223,57.038,8.85,11.9369,1.82714285714286,1.686129393,4.93479073,25.5437823,19.37673431,12.635106,25.28283371,23.17572955
"29","New Zealand",18.4333333333333,17.4333333333333,19.4666666666667,9.38571428571429,23299.0130033333,37.8,1.05,32.2628571428571,-0.501762107285714,5.12,4.58333333333333,-0.4,-41,-36,8,79.4,81.2,83,7.38285714285714,3.6,10.18447,14.73988,37.96307,24.24822,12.86437,14.70566,9.47629,0.9979113,4.602769,70.21738,33.2128571428571,28.4,28.4,28.4,15.5785714285714,1.9,9.59,2.50714285714286,1.7799,8.5045,1.49326229414286,-5.771403715,9.516706501,10.3209344,1.74591116,3.763648321,-1.263282349,52.16,12.225,10.2844,3.48,4.138689717,4.664004793,21.02675179,36.75531474,13.5928555,19.73114614,25.23186619
"30","Norway",20,20.1428571428571,19.8571428571429,6.63333333333333,45790.6689988889,86.6,-0.05,21.6283333333333,3.05844757528571,2.87142857142857,4.78571428571429,0.05,35,27,-6,79.1,81.4,83.6,10.7116666666667,1.4,7.057977,13.41165,44.51003,25.38779,9.632555,8.107972,6.813718,0.8158332,3.902906,80.35957,71.6133333333333,10,11,8,34.7516666666667,1,13.8816666666667,3.91666666666667,1.4019,7.8817,1.16739050571429,7.89092143,7.267401755,3.025565226,4.186637369,2.506202733,1.990374697,43.62,11.3,9.2837,5.77285714285714,1.15605023,5.873092367,18.81716747,36.64033343,8.19637994285714,21.4184152,16.09494131
"31","OECD - Total",16.78,19.4,49.7,10.15,26765.48121,46.7,1.15,12.32,-0.0502446951428571,8.45,4.95857142857143,-0.7,NA,0,-24,77.30294118,80.07058824,82.78823529,16.1016666666667,3.2,10.18447,11.23917,47.22631,17.26295,25.41437,2.967361,5.562126,0.0397518,0.7904339,86.97064,81.51,25.1,17.3,23,29.212,3.9,9.59,4.822,2.605433333,6.6543875,1.27860216314286,4.24828539,-15.57014943,9.428738627,2.06,2.25789962,-2.360235701,46.8533333333333,26.22,9.368730303,5.72857142857143,1.565894657,4.664004793,30.6730543,15.19170517,28.9532298571429,27.34210217,28.86200071
"32","Poland",23.8,17.9,30.9,10.2666666666667,14841.6542633333,28.1,3.15,20.2575,6.74384930757143,5.48333333333333,5.48428571428571,0.4,-56,-57,-2,72.6,76.9,81.1,7.315,3.2,3.80899,8.74745,45.91723,27.10422,14.4221,3.934832,4.345629,0.9253683,3.823529,86.97064,25.8616666666667,15.8,16.6,15.2,0,1.5,5.18833333333333,2.175,2.0421,4.8288,4.30025506614286,-3.926861285,0.322058278,3.632604168,2.68165748,1.842717851,0.567796913,79.7425,14.9666666666667,6.8709,2.32857142857143,3.89996808,7.829308186,17.23246154,24.63860022,17.5973671428571,16.37345363,30.02620834
"33","Portugal",18.6,11,27.2,11.65,19378.3875155556,34,1.5,51.2783333333333,-5.08822815757143,3.2,1.40428571428571,-2.05,-47,-51,-8,77.6,80.8,84,10.4016666666667,2.4,12.2419,19.01754,19.52734,29.65814,19.55508,8.717504,5.998627,0.3575083,2.963692,81.96267,33.815,15.4,14.6,16.1,0,0.7,5.18833333333333,3.91666666666667,3.5807,6.6539,-0.234627534714286,-1.005205034,-14.78035286,-1.487640944,-0.584601779,-2.437868327,-1.700402103,52.4966666666667,8.92,10.2345,-0.31,2.258616821,5.066477167,23.01150295,18.54725434,13.6736657142857,22.43372369,28.68242504
"34","Russia",33.8,16.3,55,11.3666666666667,14259.990545,24,2.85,20.7633333333333,8.16159815328571,8.45,0.844285714285714,0.45,-63,-54,22,63.2,69,75.1,14.48,6.5,0.6280565,1.659163,80.13398,17.26295,0.3158459,14.82233,14.67859,4.416572,12.05844,54.02407,18.308,28.3,23,25.1,19.1783333333333,3.3,8,4.822,2.87373144,3.328644681,3.76463951514286,-3.498495808,2.043322855,5.330143152,7.199980711,2.049203462,0.504924394,46.8533333333333,26.22,6.202376121,2.84571428571429,3.867727562,6.465219613,16.1661313,29.53744263,16.2034641428571,15.10147817,28.86200071
"35","Slovak Republic",19.5,12.5,27.1,10.4666666666667,17777.3100166667,34.7,2.75,13.8,1.38996679114286,5.81666666666667,5.07714285714286,0.4,-46,-51,-9,72.3,76.1,79.8,9.2125,4.7,6.695868,7.487897,42.85965,24.14282,18.81377,3.136446,1.66293,0.3760393,1.49023,93.13101,69.22,16.9,17.1,16.7,0.67,0.2,8.02666666666667,3,2.3087,5.633,4.12344279285714,-10.3110748,-2.702926995,7.196836624,6.769936567,0.80593196,0.803603293,85.53,10.9333333333333,7.9416,1.53857142857143,3.138700134,8.216659154,18.31370525,27.00261992,21.572167,16.67362131,26.65469423
"36","Slovenia",18.9,15.5,22.4,10.9333333333333,21374.9351377778,39.2,1.95,20.7633333333333,-3.12929471471429,2.73333333333333,4.95857142857143,-1.8,-39,-47,-13,76.8,80.1,83.3,8.41666666666667,2.3,5.900367,9.164166,39.42611,30.72677,14.78259,5.13116,3.457359,0.7463506,3.265284,87.39985,83.7183333333333,16.4,17,15.8,4.07,0.6,7.95166666666667,2.41333333333333,2.3271,6.523,1.096342298,-7.750183296,-6.804892694,-3.271800152,-1.379142099,-2.608582822,0.885751753,75.1683333333333,20.34,8.8501,2.51857142857143,2.693201393,5.933871277,21.02675179,25.15634815,20.8420947142857,20.49349877,24.69632861
"37","South Africa",13.8,8,24,6.425,7675.372295375,24,-0.15,48.4714285714286,6.13845097685714,42.2,4.95857142857143,0.8,NA,-15,-20,52,52.6,53.2,6.67833333333333,19.2,0.6280565,1.659163,19.52734,36.95148,13.31885,0,3.337723,0.234259,0.0729691,87.39985,79.7314285714286,16,8.8,27.4,39.2125,15.4,1.01714285714286,0.728333333333333,5.053184103,3.466544761,3.19136599057143,2.306397306,2.478227128,3.034418181,3.301614907,0.590117579,2.78790779,44.9033333333333,1.05,8.519728863,-0.31,2.565388646,3.972752864,21.46435012,24.43903838,15.1225187142857,22.5008968,25.05757319
